sigma_max_MPa,a_mm,N_cycles,dK_MPa_sqrt_m,dadN_m_per_cyc
80,5.00000,0.000,10.6817,1.218774e-08
80,5.01125,923.059,10.6965,1.223831e-08
80,5.02250,1842.303,10.7112,1.228902e-08
80,5.03375,2757.754,10.7260,1.233986e-08
80,5.04500,3669.434,10.7407,1.239084e-08
80,5.05625,4577.362,10.7555,1.244195e-08
80,5.06750,5481.562,10.7702,1.249319e-08
80,5.07875,6382.052,10.7850,1.254457e-08
80,5.09000,7278.855,10.7997,1.259608e-08
80,5.10125,8171.990,10.8144,1.264773e-08
80,5.11250,9061.477,10.8292,1.269951e-08
80,5.12375,9947.338,10.8439,1.275143e-08
80,5.13500,10829.592,10.8587,1.280348e-08
80,5.14625,11708.259,10.8734,1.285568e-08
80,5.15750,12583.359,10.8881,1.290800e-08
80,5.16875,13454.912,10.9029,1.296047e-08
80,5.18000,14322.936,10.9176,1.301307e-08
80,5.19125,15187.451,10.9323,1.306581e-08
80,5.20250,16048.477,10.9470,1.311868e-08
80,5.21375,16906.033,10.9618,1.317170e-08
80,5.22500,17760.137,10.9765,1.322485e-08
80,5.23625,18610.808,10.9912,1.327815e-08
80,5.24750,19458.065,11.0059,1.333158e-08
80,5.25875,20301.926,11.0207,1.338515e-08
80,5.27000,21142.409,11.0354,1.343886e-08
80,5.28125,21979.534,11.0501,1.349271e-08
80,5.29250,22813.318,11.0648,1.354670e-08
80,5.30375,23643.778,11.0795,1.360083e-08
80,5.31500,24470.933,11.0943,1.365511e-08
80,5.32625,25294.801,11.1090,1.370952e-08
80,5.33750,26115.398,11.1237,1.376408e-08
80,5.34875,26932.743,11.1384,1.381877e-08
80,5.36000,27746.853,11.1531,1.387361e-08
80,5.37125,28557.745,11.1678,1.392860e-08
80,5.38250,29365.436,11.1826,1.398372e-08
80,5.39375,30169.943,11.1973,1.403899e-08
80,5.40500,30971.282,11.2120,1.409440e-08
80,5.41625,31769.471,11.2267,1.414996e-08
80,5.42750,32564.526,11.2414,1.420566e-08
80,5.43875,33356.464,11.2561,1.426151e-08
80,5.45000,34145.301,11.2708,1.431750e-08
80,5.46125,34931.053,11.2855,1.437363e-08
80,5.47250,35713.736,11.3002,1.442991e-08
80,5.48375,36493.366,11.3150,1.448634e-08
80,5.49500,37269.960,11.3297,1.454291e-08
80,5.50625,38043.533,11.3444,1.459963e-08
80,5.51750,38814.100,11.3591,1.465650e-08
80,5.52875,39581.677,11.3738,1.471351e-08
80,5.54000,40346.281,11.3885,1.477067e-08
80,5.55125,41107.925,11.4032,1.482798e-08
80,5.56250,41866.626,11.4179,1.488544e-08
80,5.57375,42622.398,11.4326,1.494305e-08
80,5.58500,43375.256,11.4473,1.500080e-08
80,5.59625,44125.216,11.4621,1.505870e-08
80,5.60750,44872.293,11.4768,1.511676e-08
80,5.61875,45616.500,11.4915,1.517496e-08
80,5.63000,46357.853,11.5062,1.523331e-08
80,5.64125,47096.365,11.5209,1.529182e-08
80,5.65250,47832.053,11.5356,1.535047e-08
80,5.66375,48564.929,11.5503,1.540928e-08
80,5.67500,49295.009,11.5650,1.546824e-08
80,5.68625,50022.306,11.5797,1.552735e-08
80,5.69750,50746.834,11.5945,1.558661e-08
80,5.70875,51468.607,11.6092,1.564602e-08
80,5.72000,52187.640,11.6239,1.570559e-08
80,5.73125,52903.945,11.6386,1.576531e-08
80,5.74250,53617.537,11.6533,1.582519e-08
80,5.75375,54328.429,11.6680,1.588522e-08
80,5.76500,55036.634,11.6828,1.594540e-08
80,5.77625,55742.167,11.6975,1.600574e-08
80,5.78750,56445.040,11.7122,1.606623e-08
80,5.79875,57145.266,11.7269,1.612688e-08
80,5.81000,57842.859,11.7416,1.618768e-08
80,5.82125,58537.832,11.7563,1.624864e-08
80,5.83250,59230.198,11.7711,1.630976e-08
80,5.84375,59919.969,11.7858,1.637104e-08
80,5.85500,60607.158,11.8005,1.643247e-08
80,5.86625,61291.778,11.8152,1.649405e-08
80,5.87750,61973.842,11.8300,1.655580e-08
80,5.88875,62653.362,11.8447,1.661771e-08
80,5.90000,63330.351,11.8594,1.667977e-08
80,5.91125,64004.821,11.8741,1.674199e-08
80,5.92250,64676.784,11.8889,1.680437e-08
80,5.93375,65346.252,11.9036,1.686692e-08
80,5.94500,66013.239,11.9183,1.692962e-08
80,5.95625,66677.755,11.9331,1.699248e-08
80,5.96750,67339.812,11.9478,1.705550e-08
80,5.97875,67999.423,11.9625,1.711869e-08
80,5.99000,68656.600,11.9773,1.718203e-08
80,6.00125,69311.354,11.9920,1.724554e-08
80,6.01250,69963.696,12.0068,1.730921e-08
80,6.02375,70613.639,12.0215,1.737304e-08
80,6.03500,71261.194,12.0362,1.743704e-08
80,6.04625,71906.373,12.0510,1.750120e-08
80,6.05750,72549.186,12.0657,1.756552e-08
80,6.06875,73189.645,12.0805,1.763000e-08
80,6.08000,73827.762,12.0952,1.769466e-08
80,6.09125,74463.547,12.1100,1.775947e-08
80,6.10250,75097.012,12.1247,1.782445e-08
80,6.11375,75728.167,12.1395,1.788960e-08
80,6.12500,76357.024,12.1542,1.795491e-08
80,6.13625,76983.594,12.1690,1.802039e-08
80,6.14750,77607.887,12.1838,1.808604e-08
80,6.15875,78229.913,12.1985,1.815185e-08
80,6.17000,78849.685,12.2133,1.821783e-08
80,6.18125,79467.211,12.2280,1.828398e-08
80,6.19250,80082.504,12.2428,1.835030e-08
80,6.20375,80695.573,12.2576,1.841679e-08
80,6.21500,81306.429,12.2723,1.848344e-08
80,6.22625,81915.082,12.2871,1.855026e-08
80,6.23750,82521.542,12.3019,1.861726e-08
80,6.24875,83125.820,12.3167,1.868442e-08
80,6.26000,83727.926,12.3314,1.875176e-08
80,6.27125,84327.870,12.3462,1.881926e-08
80,6.28250,84925.661,12.3610,1.888694e-08
80,6.29375,85521.311,12.3758,1.895479e-08
80,6.30500,86114.829,12.3906,1.902281e-08
80,6.31625,86706.224,12.4054,1.909101e-08
80,6.32750,87295.507,12.4202,1.915937e-08
80,6.33875,87882.687,12.4349,1.922791e-08
80,6.35000,88467.774,12.4497,1.929663e-08
80,6.36125,89050.777,12.4645,1.936551e-08
80,6.37250,89631.707,12.4793,1.943458e-08
80,6.38375,90210.572,12.4941,1.950381e-08
80,6.39500,90787.382,12.5089,1.957323e-08
80,6.40625,91362.147,12.5238,1.964281e-08
80,6.41750,91934.875,12.5386,1.971258e-08
80,6.42875,92505.577,12.5534,1.978252e-08
80,6.44000,93074.261,12.5682,1.985264e-08
80,6.45125,93640.936,12.5830,1.992293e-08
80,6.46250,94205.612,12.5978,1.999341e-08
80,6.47375,94768.298,12.6126,2.006406e-08
80,6.48500,95329.002,12.6275,2.013489e-08
80,6.49625,95887.733,12.6423,2.020589e-08
80,6.50750,96444.502,12.6571,2.027708e-08
80,6.51875,96999.315,12.6720,2.034845e-08
80,6.53000,97552.183,12.6868,2.042000e-08
80,6.54125,98103.113,12.7016,2.049173e-08
80,6.55250,98652.115,12.7165,2.056364e-08
