disp_um,force_N,crack_length,net_growth,cmod_um,tortuosity,n_branch,n_segment,tip_x,tip_y,direction_deg,K_I,K_c,growth_rate,initiated,severity,unstable
0.0500,8.5512,0.54214,0.00000,0.03200,0.9737,0,1,0.5067,0.5000,-0.00,31.167,789.353,1.1140,0,none,0
0.1000,17.1013,0.54219,0.00006,0.06402,0.9737,0,1,0.5067,0.5000,-0.02,62.331,789.353,1.4903,0,none,0
0.1500,25.6476,0.54229,0.00015,0.09606,0.9737,0,1,0.5067,0.5000,-0.04,93.480,789.353,2.2489,0,none,0
0.2000,34.1873,0.54242,0.00028,0.12818,0.9737,0,1,0.5067,0.5000,-0.06,124.606,789.353,3.0240,0,none,0
0.2500,42.7178,0.54259,0.00045,0.16038,0.9737,0,1,0.5067,0.5000,-0.10,155.697,789.353,3.8240,0,none,0
0.3000,51.2359,0.54280,0.00066,0.19271,0.9737,0,1,0.5067,0.5000,-0.15,186.744,789.353,4.7709,0,none,0
0.3500,59.7014,0.54307,0.00093,0.22563,0.9737,0,1,0.5067,0.5000,-0.20,217.599,789.353,5.7103,0,none,0
0.4000,68.1723,0.54337,0.00123,0.25846,0.9737,0,1,0.5067,0.5000,-0.26,248.474,789.353,6.6129,0,none,0
0.4500,76.6182,0.54373,0.00159,0.29156,0.9737,0,1,0.5067,0.5000,-0.33,279.258,789.353,7.6618,0,none,0
0.5000,85.0347,0.54414,0.00200,0.32497,0.9737,0,1,0.5067,0.5000,-0.41,309.934,789.353,8.8073,0,none,0
0.5500,93.4164,0.54461,0.00247,0.35876,0.9737,0,1,0.5067,0.4999,-0.49,340.483,789.353,10.0726,0,none,0
0.6000,101.7574,0.54515,0.00301,0.39300,0.9737,0,1,0.5067,0.4999,-0.59,370.885,789.353,11.4879,0,none,0
0.6500,110.0504,0.54576,0.00362,0.42779,0.9737,0,1,0.5067,0.4999,-0.69,401.111,789.353,13.0927,0,none,0
0.7000,118.2865,0.54646,0.00432,0.46324,0.9737,0,1,0.5067,0.4999,-0.80,431.130,789.353,14.9403,0,none,0
0.7500,126.4548,0.54725,0.00511,0.49949,0.9474,0,1,0.5067,0.4999,-0.93,460.901,789.353,17.1045,0,none,0
0.8000,134.5412,0.54817,0.00603,0.53674,0.9474,0,1,0.5067,0.4999,-1.06,490.375,789.353,20.5351,0,none,0
0.8500,142.4256,0.54931,0.00717,0.57666,0.9474,0,1,0.5067,0.4999,-1.20,519.112,789.353,24.1751,0,none,0
0.9000,150.2393,0.55058,0.00844,0.61749,0.9474,0,1,0.5067,0.4998,-1.35,547.591,789.353,28.0283,0,none,0
0.9500,157.8725,0.55211,0.00997,0.66081,0.9474,0,1,0.5067,0.4998,-1.51,575.412,789.353,35.3611,0,none,0
1.0000,165.1141,0.55412,0.01198,0.70997,0.9474,0,1,0.5067,0.4998,-1.69,601.806,789.353,46.6615,0,none,0
1.0500,171.8745,0.55677,0.01464,0.76692,0.9474,0,1,0.5067,0.4998,-1.88,626.446,789.353,62.6556,0,none,0
1.1000,177.9390,0.56038,0.01825,0.83587,0.9474,0,1,0.5067,0.4998,-2.09,648.550,789.353,91.3041,0,none,0
1.1500,182.5711,0.56590,0.02377,0.93154,0.9605,0,1,0.5067,0.4997,-2.32,665.433,789.353,141.5592,1,light,0
1.2000,184.7204,0.57454,0.03240,1.07533,0.9605,0,1,0.5067,0.4997,-2.59,673.267,789.353,181.6285,1,light,0
