disp_mm,force_N
5.000000000000000240e-05,8.551206029317130586e+00
1.000000000000000048e-04,1.710133151083099534e+01
1.500000000000000140e-04,2.564760749819362573e+01
2.000000000000000096e-04,3.418734070238453171e+01
2.500000000000000052e-04,4.271775754419082460e+01
3.000000000000000279e-04,5.123593007061178639e+01
3.499999999999999964e-04,5.970135006852048321e+01
4.000000000000000192e-04,6.817227807135813578e+01
4.500000000000000419e-04,7.661824783673354489e+01
5.000000000000000104e-04,8.503469859355375604e+01
5.500000000000000331e-04,9.341644601902233092e+01
6.000000000000000559e-04,1.017574222543029947e+02
6.500000000000000786e-04,1.100503859027757727e+02
6.999999999999999929e-04,1.182865130218893484e+02
7.500000000000000156e-04,1.264548044100927058e+02
8.000000000000000383e-04,1.345412012495800127e+02
8.500000000000000611e-04,1.424256428673561459e+02
9.000000000000000838e-04,1.502392731859593482e+02
9.499999999999999981e-04,1.578725025848426071e+02
1.000000000000000021e-03,1.651140774044968396e+02
1.050000000000000152e-03,1.718744563796447551e+02
1.100000000000000066e-03,1.779389930069395405e+02
1.149999999999999981e-03,1.825710850330566473e+02
1.200000000000000112e-03,1.847204374358777841e+02
1.250000000000000026e-03,1.857622832162258248e+02
1.300000000000000157e-03,1.888816142373380558e+02
1.350000000000000071e-03,1.933474328873772379e+02
1.399999999999999986e-03,1.983982744013049455e+02
1.450000000000000117e-03,2.037875887893764002e+02
1.500000000000000031e-03,2.094083298597570604e+02
1.550000000000000162e-03,2.151986413110577416e+02
1.600000000000000077e-03,2.211173167226812950e+02
1.649999999999999991e-03,2.271347980967503872e+02
1.700000000000000122e-03,2.332289413346739479e+02
1.750000000000000036e-03,2.393826326448535724e+02
1.800000000000000168e-03,2.455823466059957525e+02
1.850000000000000082e-03,2.518357670896294564e+02
1.899999999999999996e-03,2.580960343939830182e+02
1.950000000000000127e-03,2.643739306482348184e+02
2.000000000000000042e-03,2.706648180159490380e+02
2.050000000000000173e-03,2.769635843107819824e+02
2.100000000000000304e-03,2.832657587920061815e+02
2.150000000000000001e-03,2.895674714473383915e+02
2.200000000000000133e-03,2.958653867245483866e+02
2.250000000000000264e-03,3.021566100466896501e+02
2.299999999999999961e-03,3.084385990792459893e+02
2.350000000000000092e-03,3.147091029503661161e+02
2.400000000000000223e-03,3.209661219618645873e+02
2.449999999999999921e-03,3.272214682557320771e+02
2.500000000000000052e-03,3.334472052935958573e+02
2.550000000000000183e-03,3.396533703935150470e+02
2.600000000000000314e-03,3.458397815154478963e+02
2.650000000000000012e-03,3.520053476557515069e+02
2.700000000000000143e-03,3.581489468171097315e+02
2.750000000000000274e-03,3.642695245555867700e+02
2.799999999999999972e-03,3.703660923362311337e+02
2.850000000000000103e-03,3.764377120643694639e+02
2.900000000000000234e-03,3.824834919213454896e+02
2.949999999999999931e-03,3.885025740108561649e+02
3.000000000000000062e-03,3.944941217113417338e+02
3.050000000000000194e-03,4.004573159542296708e+02
3.100000000000000325e-03,4.063913466425404977e+02
3.150000000000000022e-03,4.122954153978165550e+02
3.200000000000000153e-03,4.181687289169943256e+02
3.250000000000000284e-03,4.240104904998263464e+02
3.299999999999999982e-03,4.298199126313446641e+02
3.350000000000000113e-03,4.355962843549409058e+02
3.400000000000000244e-03,4.413388979278386728e+02
3.450000000000000375e-03,4.470470259864985678e+02
3.500000000000000073e-03,4.527199278947961716e+02
3.550000000000000204e-03,4.583568356571457230e+02
3.600000000000000335e-03,4.639569530839211779e+02
3.650000000000000033e-03,4.695194546977298273e+02
3.700000000000000164e-03,4.750127400195447080e+02
3.750000000000000295e-03,4.804946190862107187e+02
3.799999999999999992e-03,4.859364081199175871e+02
3.850000000000000124e-03,4.913367165177050992e+02
3.900000000000000255e-03,4.966945356997445629e+02
3.950000000000000386e-03,5.020088171247832065e+02
4.000000000000000083e-03,5.072784171256872696e+02
4.049999999999999781e-03,5.125020910971886678e+02
4.100000000000000346e-03,5.176786214645492237e+02
4.150000000000000043e-03,5.228066696655339456e+02
4.200000000000000608e-03,5.278848062476170071e+02
4.250000000000000305e-03,5.328732283989176040e+02
4.300000000000000003e-03,5.378429483333674170e+02
